------------ LogisticRegression ------------
Predict Proba:
 [  2.76922221e-02   1.24781786e-01   8.47524591e-01   8.14900000e-07
   5.85216802e-07] , [  2.55158904e-03   1.06135130e-03   9.94154096e-01   2.15097787e-03
   8.19859174e-05] , [  8.65763580e-84   2.23740296e-02   9.75047621e-01   2.52897553e-03
   4.93736299e-05] , [  1.62900575e-14   3.50266045e-02   9.64969029e-01   3.00498967e-06
   1.36151047e-06] , [  3.37162323e-84   5.14265361e-02   9.47173910e-01   9.63568287e-04
   4.35985973e-04] , [  9.07863802e-84   2.20984718e-02   9.76115532e-01   1.75031615e-03
   3.56800997e-05] , [  1.26000739e-84   8.48790048e-01   1.48154040e-01   2.95003125e-03
   1.05880038e-04] , [  7.50962317e-17   3.18697518e-02   9.67267909e-01   7.21847274e-04
   1.40492191e-04] , [  7.70248905e-85   1.81248785e-02   9.80524323e-01   1.30707231e-03
   4.37260258e-05] , [  1.13207830e-04   1.17874854e-03   9.95751628e-01   2.32673683e-03
   6.29678533e-04] , [  2.18593336e-05   3.05410773e-06   9.89031700e-01   4.19960181e-05
   1.09013909e-02] , [  6.08048240e-16   2.74083369e-02   9.72584864e-01   1.67319603e-06
   5.12626493e-06] , [  5.35617267e-05   2.53454468e-02   9.70866852e-01   3.13813349e-03
   5.96005932e-04] , [  4.88291004e-16   9.04427086e-01   7.36892443e-02   2.16996053e-02
   1.84064391e-04] , [  5.75853780e-03   5.74137030e-05   9.83608734e-01   1.05656328e-02
   9.68194652e-06] , [  2.99579541e-16   1.79212507e-02   9.78851235e-01   3.15391469e-03
   7.35998382e-05] , [  5.83900186e-18   3.58712478e-03   9.93008511e-01   1.25976800e-03
   2.14459617e-03] , [  3.45741069e-03   8.61756996e-01   1.11592753e-01   2.31145090e-02
   7.83312661e-05] , [  4.84227027e-16   8.83122571e-01   9.50129293e-02   2.17451304e-02
   1.19368872e-04] , [  4.32356068e-04   1.95057079e-01   7.91950092e-01   1.25514445e-02
   9.02886522e-06] , [  2.50864956e-05   4.24917298e-05   9.87907133e-01   1.78705533e-05
   1.20074183e-02] , [  3.13576710e-85   2.67023335e-03   9.86636172e-01   1.03439200e-02
   3.49674202e-04] , [  5.21417329e-84   2.52086081e-02   9.73105598e-01   1.63230184e-03
   5.34917371e-05] , [  5.87648480e-14   4.83406412e-02   9.47529100e-01   3.68516328e-03
   4.45095103e-04] , [  2.18095325e-81   9.72700931e-01   2.72981487e-02   4.42130678e-08
   8.75769925e-07] , [  1.55024608e-05   1.31582702e-03   9.85412350e-01   1.24510354e-02
   8.05284879e-04] , [  1.20009353e-83   1.28343896e-02   9.99543660e-03   9.76820344e-01
   3.49829956e-04] , [  1.86176448e-84   2.21545908e-02   9.55556095e-01   2.20876501e-02
   2.01664176e-04] , [  1.21361692e-18   8.44992651e-09   1.06843469e-01   5.61661470e-07
   8.93155960e-01] , [  2.33610167e-05   2.79814895e-06   9.88857126e-01   3.90893805e-05
   1.10776257e-02] , [  3.86421666e-72   1.61153274e-03   9.62052239e-01   3.59830589e-02
   3.53169776e-04] , [  2.55045599e-18   8.02348832e-05   9.64257229e-01   1.38339320e-05
   3.56487026e-02] , [  2.32314674e-13   9.55545497e-01   4.44538695e-02   6.79301582e-08
   5.65144633e-07] , [  5.06666357e-04   1.46399630e-03   9.94752146e-01   2.48048439e-03
   7.96706577e-04] , [  7.24632116e-17   2.05844461e-03   9.95382049e-01   1.88826132e-03
   6.71244710e-04] , [  8.64175294e-06   3.46843576e-02   9.64265775e-01   9.59771994e-04
   8.14540430e-05] , [  4.65683855e-09   1.97498944e-14   9.76960541e-01   4.81699153e-14
   2.30394546e-02] , [  4.78140595e-84   2.54300735e-02   9.72885505e-01   1.62532975e-03
   5.90913002e-05] , [  4.23386737e-03   5.41926442e-01   4.40577168e-01   1.32194297e-02
   4.30929475e-05] , [  3.33287821e-85   1.21157569e-01   8.63775269e-01   1.49255784e-02
   1.41584260e-04] , [  4.46091894e-84   3.45282101e-02   9.63852522e-01   8.78890879e-04
   7.40377105e-04] , [  2.91375261e-84   3.42777976e-03   9.94599558e-01   1.82072950e-03
   1.51933098e-04] , [  7.18123536e-14   4.29751493e-02   9.42703075e-01   1.42844583e-02
   3.73176461e-05] , [  3.47916953e-84   4.96698352e-02   9.43102750e-01   7.20926091e-03
   1.81542456e-05] , [  2.19724984e-05   1.98802313e-02   9.78007872e-01   9.97974674e-04
   1.09194950e-03] , [  1.13535438e-84   8.51183261e-01   1.36259402e-01   1.24846591e-02
   7.26783241e-05] , [  1.29495152e-16   8.62806498e-01   1.19472695e-01   1.76184894e-02
   1.02318005e-04] , [  9.54795719e-04   9.41222272e-03   9.86929732e-01   2.69108526e-03
   1.21642793e-05] , [  1.12330224e-89   4.49721793e-14   9.77410046e-01   3.20197635e-14
   2.25899537e-02] , [  1.38053757e-50   7.72922484e-01   2.27077486e-01   2.94673051e-10
   2.98583561e-08] , [  3.30941988e-85   4.25691773e-02   9.55468027e-01   1.82843733e-03
   1.34358703e-04] , [  1.59255642e-09   1.21532951e-06   9.48385881e-01   6.84973729e-06
   5.16060520e-02] , [  1.52715011e-03   1.68014690e-02   9.78223517e-01   3.39457314e-03
   5.32904330e-05] , [  1.03766796e-16   5.89087726e-04   9.74808873e-01   2.39460955e-02
